,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
84348,United States of America,2020-03-03,102,40.738039513264496,15.558524358974399,15.0756845765346,7.48079825729826,3.0719704323454304,0.0,0.0,3.0,22.0,2.33478576943482,656.003962048306,96.9999999999995,12058.777781608998
84349,United States of America,2020-03-04,102,45.79093066100571,17.647578576978603,17.088195318570303,10.0159269480519,4.08905421800422,0.0,0.0,3.0,25.0,1.766662932194,901.655666510625,112.0,15115.2150075853
84350,United States of America,2020-03-05,102,52.787963253413295,20.7148671606172,20.097072963148,12.0138478882229,5.1030155955156,0.0,0.0,4.0,29.0,1.8456313148373797,1280.79849923151,142.0,18958.3298299362
84351,United States of America,2020-03-06,102,61.9587921661672,24.783966761016803,24.1076975690976,14.0650153152403,6.1028711954712,0.0,0.0,6.0,35.0,1.9120885128715102,1755.36605526591,112.0,23751.5924418238
84352,United States of America,2020-03-07,102,75.1945255078255,29.887982142857105,29.1171839160839,19.2874414446664,8.13532402597403,0.0,0.0,1.0,36.0,2.1085691822175,2305.58687300495,203.999999999999,29665.3118151849
84353,United States of America,2020-03-08,102,112.773023595849,47.018794433344404,46.138156537906504,44.8053189171939,20.165989593739603,0.0,0.0,7.0,43.0,1.81982455948823,2908.33190081326,255.0,36863.3683342951
84354,United States of America,2020-03-09,102,160.27102046286998,68.1811272116772,67.15791820956821,54.887804531579505,24.197363941613897,0.0,0.0,4.0,47.0,0.467579286709553,3659.4949461162605,237.0,45486.5031650056
84355,United States of America,2020-03-10,102,208.001246026196,89.4173241702742,88.186792984793,56.1419242202242,25.2744916000666,0.0,0.0,5.0,52.0,-0.7564616548611429,4598.03150934354,482.0,55630.221362314296
84356,United States of America,2020-03-11,102,267.150567665668,115.895027916528,114.255327944278,70.06123320568321,31.5089736430236,0.0,0.0,5.0,57.0,-1.36045188541066,5780.347646590029,439.0,67321.7027658521
84357,United States of America,2020-03-12,102,327.368912726163,142.60586515151502,140.34944210234198,73.10138065823071,32.745753152403196,0.0,0.0,6.0,63.0,-4.06230475692528,7290.89121818283,602.0,80499.4374539818
84358,United States of America,2020-03-13,102,420.64713109945603,184.190061596737,181.43260701798198,109.179900910201,49.6604177489178,0.0,0.0,4.0,67.0,-6.095683887773809,9252.53936505646,740.0,94998.5415771436
84359,United States of America,2020-03-14,102,516.086482284382,221.00859695304698,217.53576741869202,126.489595670996,56.8856895049395,0.0,0.0,12.0,79.0,-9.15816131875128,11821.758021971598,941.000000000001,110547.005646632
84360,United States of America,2020-03-15,102,637.839477051462,273.838278679654,269.631632589633,170.078609938019,76.896364027639,0.0,0.0,16.0,95.0,-12.832486617058802,15147.6657057291,1016.0,126782.777813526
84361,United States of America,2020-03-16,102,823.145306475387,357.194437604063,351.820485589411,240.481796720518,108.427129356754,0.0,0.0,28.0,123.0,-17.9211552962107,19294.882303771697,1375.0,143281.693587327
84362,United States of America,2020-03-17,102,1056.41739476267,459.75039880152497,453.10196231179003,294.828816062287,133.64401541546698,0.0,0.0,29.0,152.0,-22.751594885671395,24183.750111512203,2117.0,159596.723379655
84363,United States of America,2020-03-18,102,1333.5345316341802,585.832903728298,577.4129962561129,347.35883472088204,158.184520522288,0.0,0.0,31.0,183.0,-27.402344481044803,29626.1461316734,2652.0,175296.288279348
84364,United States of America,2020-03-19,102,1674.76786609858,732.8604013391839,721.9120814373531,430.504033396024,196.129368806357,0.0,0.0,82.0,265.0,-32.6459832522114,35452.8183987973,6878.0,189997.86375083198
84365,United States of America,2020-03-20,102,2111.8132297245897,929.486166466213,915.496310388794,551.867105611803,252.760089153004,0.0,0.0,73.0,336.0,-36.5706929149802,41623.4100034581,7617.0,203389.702319843
84366,United States of America,2020-03-21,102,2645.51793316465,1165.6477082927802,1148.0922956693598,678.634337913591,312.325531420308,0.0,0.0,83.0,421.0,-39.6674015433035,48227.424412024004,8247.00000000001,215245.173408455
84367,United States of America,2020-03-22,102,3309.0005820044503,1453.84425451084,1431.88829540603,862.4757538510511,395.391910159672,0.0,0.0,116.0,537.0,-41.9926775424121,55386.4955021093,1563.99999999999,225424.64999481602
84368,United States of America,2020-03-23,102,4137.59926249476,1822.49239295984,1795.01546022906,1091.04797959994,500.91963004906603,0.0,104.09,127.0,664.0,-44.788266545808796,63124.6931020936,10700.0,233872.10673111601
84369,United States of America,2020-03-24,102,5151.54474995081,2276.5268667746,2242.35078104326,1329.1455383913099,610.54144745778,0.0,347.605,206.0,870.0,-46.2266327176171,71280.7350406357,,240607.206190139
84370,United States of America,2020-03-25,102,6363.04070093271,2815.62727089172,2772.9510970101396,1591.68324387621,732.842157269528,0.0,642.223333333333,277.0,1147.0,-48.1203308368855,79521.2898620472,,245712.26117982398
84371,United States of America,2020-03-26,102,7736.639432499541,3424.6008453004497,3370.9429637905605,1854.9102187448002,858.629992157645,0.0,978.548333333333,310.0,1457.0,-49.0191595466618,87456.7271769955,,249315.948839626
84372,United States of America,2020-03-27,102,9312.09042673433,4124.55130126193,4057.83599487765,2179.65696139759,1008.82714546642,0.0,1366.20583333333,431.0,1888.0,-49.792885905195206,94784.9194136273,,251579.175506447
84373,United States of America,2020-03-28,102,11074.1175809474,4898.03386865569,4815.2413059644705,2514.6270183119395,1164.3819314214,0.0,1806.0691666666698,567.0,2455.0,-50.0250551092877,101376.983614845,20846.0,252680.58906266198
84374,United States of America,2020-03-29,102,12978.5423941545,5729.0897190369205,5628.103293718149,2860.7671629409497,1326.47397973799,0.0,2331.103,465.0,2920.0,-50.2034998007973,107273.93956869801,18561.0,252802.27364771802
84375,United States of America,2020-03-30,102,15002.9638337644,6617.27624369177,6495.1928213825,3210.4808448011304,1491.82054007031,0.0,2922.634,632.0,3552.0,-50.743086024999506,112615.033784466,21617.0,252120.726865993
