allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
4064.7643691271705,2148.12981028008,2059.5681798414003,549.669031666996,315.222167233416,0.0,214.129810280075,417.0,26668.0,-73.18204792248991,57746.3789145158,2360.99999999994,13794.8575833346
3910.3971923691797,2066.6281997313,1981.0950507895102,527.348617203084,302.087404094267,0.0,132.628199731302,260.0,26928.0,-73.144871608432,57939.5512040049,2329.00000000003,13203.7171955443
3757.00623177188,1984.2081516148999,1901.6764521917898,504.534630504278,288.819283012683,0.0,50.2081516149013,337.0,27265.0,-72.98683804332141,58030.3768651984,1748.0,12634.4929638677
3613.2850781493,1909.90611652353,1830.2231808427102,488.004244347702,279.626931178037,0.0,0.0,387.0,27652.0,-72.66701813025229,58015.08095915,2095.0,12087.298045152
3475.0088578059804,1835.5750261207397,1758.7856873588198,470.831127492618,269.37584432090097,0.0,0.0,327.0,27979.0,-72.1585479522488,57897.278227196904,2092.0,11562.2177529442
3344.6393424849102,1766.48143242903,1692.34980516324,455.213355378136,260.166869407089,0.0,0.0,288.0,28267.0,-71.39794497834141,57697.0546102103,1875.99999999994,11059.2727612512
3213.53282750791,1696.44850022893,1624.9345157271,431.723669300196,246.949556629692,0.0,0.0,237.0,28504.0,-70.2919940534328,57453.2630401061,1966.0000000000898,10578.3817629278
3087.9709414726003,1629.4372858074898,1560.56293424207,414.408180723052,236.803628016638,0.0,0.0,193.0,28697.0,-68.7436986691928,57218.999164261106,1904.99999999994,10119.3462963485
2971.54172077901,1567.5358779145802,1501.2117092612,401.25048691228795,228.688036241399,0.0,0.0,173.0,28870.0,-66.7121662560872,57052.5909585654,1394.0000000000302,9681.84252631145
2854.59638884944,1504.6767081575501,1440.76899294745,381.68189226641505,218.46121651512001,0.0,0.0,196.0,29066.0,-64.2925958476682,57006.8347243787,1222.0,9265.433585463481
2742.9628960356895,1444.9343382608401,1383.42748635852,369.399683734059,211.26765678267398,0.0,0.0,236.0,29302.0,-61.68431752085,57118.765204600095,1076.99999999997,8869.57347442271
2633.4648972915,1386.14822895551,1327.06118883506,355.34834316986803,203.11140894325402,0.0,0.0,369.0,29671.0,-59.1405354057165,57402.291783798,1448.0000000000598,8493.61084582533
2523.30243217051,1329.47658214841,1272.6957546959402,334.950298150057,191.89357977324102,0.0,0.0,275.0,29946.0,-56.878039262362,57845.531126283,1404.0,8136.808126393629
2419.48187439028,1274.0687204138999,1219.39138228031,320.763281276983,182.814305498909,0.0,0.0,243.0,30189.0,-55.0281278666921,58413.674236100596,1326.99999999997,7798.351887405959
2318.71207076149,1220.61269742256,1168.05826674946,308.384746990978,176.633381102918,0.0,0.0,194.0,30383.0,-53.6308841283986,59056.5056734446,1085.0,7477.34963128083
2216.9639074488896,1168.21856220954,1117.70817425948,292.28743290502103,167.42314779966802,0.0,0.0,165.0,30548.0,-52.6461083397203,59718.635968500595,799.999999999971,7172.8288029142295
2120.81623811268,1115.9351756943302,1067.37372137027,281.205869737302,160.343544662823,0.0,0.0,180.0,30728.0,-51.977151773435295,60350.0605392518,743.999999999971,6883.7477259914895
2023.8538441326398,1064.71908506966,1018.0842157116801,266.845151488531,153.162753696231,0.0,0.0,172.0,30900.0,-51.4924302961697,60914.9406277351,982.000000000058,6609.01762480241
1936.15246734035,1019.56416817864,974.788071860067,259.10098936892103,148.010952516073,0.0,0.0,195.0,31095.0,-51.053276495821,61396.3065504352,886.999999999971,6347.509477686071
1854.3945693222602,976.5624024656801,933.5285937295199,246.587535344987,140.948790916733,0.0,0.0,263.0,31358.0,-50.5307009843229,61794.784810715995,991.000000000058,6098.07014522516
1772.8875830931897,932.472570086746,891.2413172718111,235.53968156312197,133.71379563770398,0.0,0.0,242.0,31600.0,-49.813055041021606,62121.391227269596,731.999999999942,5859.564569301059
1694.85445529811,892.412498031329,852.9616217121629,223.56870982057202,128.626964185982,0.0,0.0,154.0,31754.0,-48.82361773903111,62387.785706212,874.000000000058,5630.911195520861
1625.8736098952697,856.532465590253,818.7365963547929,218.462504393199,125.581184074044,0.0,0.0,145.0,31899.0,-47.5334982497128,62599.0792146488,673.999999999971,5411.096750202751
1558.9280901481,821.701746854577,785.496247753755,209.262115703088,119.437938046998,0.0,0.0,99.0,31998.0,-45.9668276228631,62752.6545320159,449.999999999971,5199.18973115588
1494.73720567535,786.8543874252471,752.236890273976,199.74209939471402,114.264049513923,0.0,0.0,163.0,32161.0,-44.192198543139604,62842.2780501529,812.000000000029,4994.32899045622
